arxiv_id,version,title,authors,published,updated,primary_category,categories,abstract,canonical_url,pdf_url,route_ids,families,rounds,raw_files
1109.3941,v1,Towards a non-perturbative measurement of the heavy quark momentum diffusion coefficient,A. Francis; O. Kaczmarek; M. Laine; J. Langelage,2011-09-19T04:39:34Z,2011-09-19T04:39:34Z,hep-lat,hep-lat;hep-ph,"We report on a lattice investigation of heavy quark diffusion within pure SU(3) plasma above the deconfinement transition, with the quarks treated to leading order in the heavy mass expansion. Using a multilevel algorithm, several volumes and lattice spacings, as well as tree-level improvement and perturbative renormalization, we measure the relevant ""colour-electric"" Euclidean correlator, finding that it clearly exceeds its perturbative counterpart. Even without analytic continuation, this suggests that at temperatures just above the critical one, non-perturbative interactions felt by the heavy quarks are stronger than within the weak-coupling expansion. After introducing rough modelling of the spectral shape, diffusion coefficients down to D ~ 0.5/T appear possible.",https://arxiv.org/abs/1109.3941,https://arxiv.org/pdf/1109.3941v1,Q10;Q23,diffusion;multiscale,L2;L9,expansion/raw/arxiv/Q23.xml;raw/arxiv/Q10.xml
1111.5421,v2,Markovian stochastic approximation with expanding projections,Christophe Andrieu; Matti Vihola,2011-11-23T07:31:58Z,2014-03-07T10:14:28Z,math.PR,math.PR;stat.CO;stat.ME,"Stochastic approximation is a framework unifying many random iterative algorithms occurring in a diverse range of applications. The stability of the process is often difficult to verify in practical applications and the process may even be unstable without additional stabilisation techniques. We study a stochastic approximation procedure with expanding projections similar to Andradóttir [Oper. Res. 43 (1995) 1037-1048]. We focus on Markovian noise and show the stability and convergence under general conditions. Our framework also incorporates the possibility to use a random step size sequence, which allows us to consider settings with a non-smooth family of Markov kernels. We apply the theory to stochastic approximation expectation maximisation with particle independent Metropolis-Hastings sampling.",https://arxiv.org/abs/1111.5421,https://arxiv.org/pdf/1111.5421v2,Q17,correction,L4,raw/arxiv/Q17.xml
1202.2462,v1,Aggregation-based Multilevel Methods for Lattice QCD,Andreas Frommer; Karsten Kahl; Stefan Krieg; Björn Leder; Matthias Rottmann,2012-02-11T19:38:41Z,2012-02-11T19:38:41Z,hep-lat,hep-lat,In Lattice QCD computations a substantial amount of work is spent in solving the Dirac equation. In the recent past it has been observed that conventional Krylov solvers tend to critically slow down for large lattices and small quark masses. We present a Schwarz alternating procedure (SAP) multilevel method as a solver for the Clover improved Wilson discretization of the Dirac equation. This approach combines two components (SAP and algebraic multigrid) that have separately been used in lattice QCD before. In combination with a bootstrap setup procedure we show that considerable speed-up over conventional Krylov subspace methods for realistic configurations can be achieved.,https://arxiv.org/abs/1202.2462,https://arxiv.org/pdf/1202.2462v1,Q23,multiscale,L9,expansion/raw/arxiv/Q23.xml
1203.3332,v2,Exact Results for the Jarzynski Equality in Ising Spin Glass Models Derived by Using a Gauge Symmetry,Chiaki Yamaguchi,2012-03-15T11:45:22Z,2012-03-29T12:36:00Z,cond-mat.dis-nn,cond-mat.dis-nn,"Exact results for the Jarzynski equality are derived for Ising spin glass models. The Jarzynski equality is an equality that connects the work in nonequilibrium and the difference between free energies. The work is performed in switching an external parameter of the system. As the Ising spin glass models, the +-J model and the Gaussian model are investigated. For the +-J model and the Gaussian model, we derive exact lower bounds of the exponentiated work for investigating the ferromagnetic phases and the multicritical points, and derive rigorous relations between the exponentiated work which have different quenched random configurations. For the Gaussian model, we derive the exact exponentiated work for investigating the spin glass phase. Exact results for the infinite-range models are also obtained. The present results are obtained by using a gauge symmetry, and are related to points on the Nishimori lines which are special lines in the phase diagrams. The present results do not depend on any lattice shape, and a part of the present results instead depends on the number of nearest-neighbor pairs in the whole system.",https://arxiv.org/abs/1203.3332,https://arxiv.org/pdf/1203.3332v2,Q12,jarzynski,L3,raw/arxiv/Q12.xml
1206.6156,v1,Radiation properties of extreme nulling pulsar J1502-5653,J. Li; A. Esamdin; R. N. Manchester; M. F. Qian; H. B. Niu,2012-06-27T02:07:27Z,2012-06-27T02:07:27Z,astro-ph.SR,astro-ph.SR;astro-ph.HE,"We report on radiation properties of extreme nulling pulsar J1502-5653, by analyzing the data acquired from the Parkes 64-m telescope at 1374 MHz. The radio emission from this pulsar exhibits sequences of several tens to several hundreds consecutive burst pulses, separated by null pulses, and the appearance of the emission seems quasi-periodic. The null fraction from the data is estimated to be 93.6%. No emission is detected in the integrated profile of all null pulses. Systematic modulations of pulse intensity and phase are found at the beginning of burst-pulse sequences just after null. The intensity usually rises to a maximum for the first few pulses, then declines exponentially afterwards, and becomes stable after few tens of pulse periods. The peak phase appears at later longitudes for the first pulse, then drifts to earlier longitudes rapidly, and then systematic drifting gradually vanishes while the intensity becomes stable. In this pulsar, the intensity variation and phase modulation of pulses are correlated in a short duration after the emission starts following a null. Observed properties of the pulsar are compared with other nulling pulsars published previously, and the possible explanation for phase modulation is discussed.",https://arxiv.org/abs/1206.6156,https://arxiv.org/pdf/1206.6156v1,Q13,author,L3,raw/arxiv/Q13.xml
1211.2418,v1,An estimate of heavy quark momentum diffusion coefficient in gluon plasma,Debasish Banerjee; Saumen Datta; Rajiv V. Gavai; Pushan Majumdar,2012-11-11T13:17:41Z,2012-11-11T13:17:41Z,hep-lat,hep-lat,"We calculate the momentum diffusion coefficient for heavy quarks in SU(3) gluon plasma at temperatures 1-2 times the deconfinement temperature. The momentum diffusion coefficient is extracted from a Monte Carlo calculation of the correlation function of color electric fields, in the leading order of expansion in heavy quark mass. Systematics of the calculation are examined, and compared with perturbtion theory and other estimates.",https://arxiv.org/abs/1211.2418,https://arxiv.org/pdf/1211.2418v1,Q10,diffusion,L2,raw/arxiv/Q10.xml
1211.2582,v1,Sequentially interacting Markov chain Monte Carlo methods,Anthony Brockwell; Pierre Del Moral; Arnaud Doucet,2012-11-12T11:53:55Z,2012-11-12T11:53:55Z,math.ST,math.ST,"Sequential Monte Carlo (SMC) is a methodology for sampling approximately from a sequence of probability distributions of increasing dimension and estimating their normalizing constants. We propose here an alternative methodology named Sequentially Interacting Markov Chain Monte Carlo (SIMCMC). SIMCMC methods work by generating interacting non-Markovian sequences which behave asymptotically like independent Metropolis-Hastings (MH) Markov chains with the desired limiting distributions. Contrary to SMC, SIMCMC allows us to iteratively improve our estimates in an MCMC-like fashion. We establish convergence results under realistic verifiable assumptions and demonstrate its performance on several examples arising in Bayesian time series analysis.",https://arxiv.org/abs/1211.2582,https://arxiv.org/pdf/1211.2582v1,Q17,correction,L4,raw/arxiv/Q17.xml
1212.4368,v1,Bottomonium from lattice QCD as a probe of the Quark-Gluon Plasma,G. Aarts; C. Allton; A. Kelly; J. -I. Skullerud; S. Kim; T. Harris; S. M. Ryan; M. P. Lombardo; M. B. Oktay; D. K. Sinclair,2012-12-18T14:44:39Z,2012-12-18T14:44:39Z,hep-lat,hep-lat;hep-ph;nucl-th,"We study the temperature dependence of bottomonium for temperatures in the range 0.4 Tc < T < 2.1 Tc, using non-relativistic dynamics for the bottom quark and full relativistic lattice QCD simulations for Nf=2 light flavors. We consider the behaviour of the correlators in Euclidean space, we analyze the associated spectral functions and we study the dependence on the momentum. Our results are amenable to a successful comparison with effective field theories. They help build a coherent picture of the behaviour of bottomonium in the plasma, consistent which the current LHC results.",https://arxiv.org/abs/1212.4368,https://arxiv.org/pdf/1212.4368v1,Q14,author,L3,raw/arxiv/Q14.xml
1303.2141,v3,Non-equilibrium Approach to Thermodynamics using Jarzynski Equality and Diagonal Entropy,Van A. Ngo; Stephan Haas,2013-03-08T22:35:34Z,2013-07-07T15:25:41Z,quant-ph,quant-ph;cond-mat.stat-mech;physics.comp-ph,"We combine the formalisms of diagonal entropy and Jarzynski Equality to study the thermodynamic properties of closed quantum systems. Applying this approach to a quantum harmonic oscillator, the diagonal entropy offers a notion of temperature for closed systems away from equilibrium, and allows computing free-energy profiles. We also apply this approach to a hard-core boson lattice model, and discuss measures how to estimate temperature, entropy and measure work distribution functions. This technique offers a path to investigate the non-equilibrium quantum dynamics by means of performing work in a series of quenches.",https://arxiv.org/abs/1303.2141,https://arxiv.org/pdf/1303.2141v3,Q12,jarzynski,L3,raw/arxiv/Q12.xml
1304.1319,v1,Backward Stochastic Differential Equations Associated with the Vorticity Equations,Ana Bela Cruzeiro; Zhongmin M. Qian,2013-04-04T11:08:13Z,2013-04-04T11:08:13Z,math.PR,math.PR;math.AP,We derive a non-linear version of the Feynman-Kac formula for the solutions of the vorticity equation in dimension 2 with space periodic boundary conditions. We prove the existence (global in time) and uniqueness for a stochastic terminal value problem associated with the vorticity equation in dimension 2.,https://arxiv.org/abs/1304.1319,https://arxiv.org/pdf/1304.1319v1,Q13,author,L3,raw/arxiv/Q13.xml
