edge_id,source,target,weight,relation,evidence
G0114,query:Q08,paper:2512.01153,1.553239,query_hit,raw/arxiv/Q08.xml rank=25
G0115,query:Q08,paper:2509.01629,1.582882,query_hit,raw/arxiv/Q08.xml rank=27
G0116,query:Q08,paper:2508.12511,1.596918,query_hit,raw/arxiv/Q08.xml rank=28
G0117,query:Q08,paper:2507.19718,1.610479,query_hit,raw/arxiv/Q08.xml rank=29
G0118,query:Q08,paper:2507.07192,1.623595,query_hit,raw/arxiv/Q08.xml rank=30
G0119,query:Q09,paper:2606.17252,0.527259,query_hit,raw/arxiv/Q09.xml rank=1
G0120,query:Q09,paper:2606.13790,0.689445,query_hit,raw/arxiv/Q09.xml rank=2
G0121,query:Q09,paper:2605.05764,0.893775,query_hit,raw/arxiv/Q09.xml rank=4
G0122,query:Q09,paper:2604.26534,0.966704,query_hit,raw/arxiv/Q09.xml rank=5
G0123,query:Q09,paper:2604.07867,1.081777,query_hit,raw/arxiv/Q09.xml rank=7
G0124,query:Q09,paper:2602.06849,1.171034,query_hit,raw/arxiv/Q09.xml rank=9
G0125,query:Q09,paper:2601.04358,1.243963,query_hit,raw/arxiv/Q09.xml rank=11
G0126,query:Q09,paper:2512.19616,1.27598,query_hit,raw/arxiv/Q09.xml rank=12
G0127,query:Q09,paper:2507.10476,1.359035,query_hit,raw/arxiv/Q09.xml rank=15
G0128,query:Q09,paper:2405.18381,1.504198,query_hit,raw/arxiv/Q09.xml rank=22
G0129,query:Q09,paper:2405.02467,1.521222,query_hit,raw/arxiv/Q09.xml rank=23
G0130,query:Q09,paper:2306.03521,1.568335,query_hit,raw/arxiv/Q09.xml rank=26
G0131,query:Q09,paper:2212.05125,1.610479,query_hit,raw/arxiv/Q09.xml rank=29
G0132,query:Q10,paper:2607.08505,0.527259,query_hit,raw/arxiv/Q10.xml rank=1
G0133,query:Q10,paper:2604.12416,0.689445,query_hit,raw/arxiv/Q10.xml rank=2
G0134,query:Q10,paper:2512.19877,0.804518,query_hit,raw/arxiv/Q10.xml rank=3
G0135,query:Q10,paper:2510.26081,0.893775,query_hit,raw/arxiv/Q10.xml rank=4
G0136,query:Q10,paper:2412.13704,1.028364,query_hit,raw/arxiv/Q10.xml rank=6
G0137,query:Q10,paper:2412.01919,1.081777,query_hit,raw/arxiv/Q10.xml rank=7
G0138,query:Q10,paper:2410.21212,1.12889,query_hit,raw/arxiv/Q10.xml rank=8
G0139,query:Q10,paper:2410.02711,1.171034,query_hit,raw/arxiv/Q10.xml rank=9
G0140,query:Q10,paper:2311.03578,1.305623,query_hit,raw/arxiv/Q10.xml rank=13
G0141,query:Q10,paper:2309.17082,1.33322,query_hit,raw/arxiv/Q10.xml rank=14
G0142,query:Q10,paper:2308.12355,1.359035,query_hit,raw/arxiv/Q10.xml rank=15
G0143,query:Q10,paper:2206.14676,1.406149,query_hit,raw/arxiv/Q10.xml rank=17
