query_id,family,facet,rank,source,source_id,doi,arxiv_id,title,authors,year,cited_by_count,abstract,primary_url,provenance
Q04,backward,lineage,22,root_bibliography,Caselle_2025,10.1007/JHEP02(2025)090,2409.15937,Numerical determination of the width and shape of the effective string using Stochastic Normalizing Flows,"Caselle, Michele and Cellini, Elia and Nada, Alessandro",2025,0,,https://arxiv.org/abs/2409.15937,current root bibliography ref 22
Q04,backward,lineage,23,root_bibliography,Zhou:2018ill,10.1103/PhysRevD.100.011501,1810.12879,Regressive and generative neural networks for scalar field theory,"Zhou, Kai and Endr o di, Gergely and Pang, Long-Gang and St \""o cker, Horst",2019,0,,https://arxiv.org/abs/1810.12879,current root bibliography ref 23
Q04,backward,lineage,24,root_bibliography,song2019generative,,1907.05600,Generative Modeling by Estimating Gradients of the Data Distribution,"Song, Yang and Ermon, Stefano",2019,0,,https://papers.nips.cc/paper/2019/hash/3001ef257407d5a371a96dcd947c7d93-Abstract.html,current root bibliography ref 24
Q04,backward,lineage,25,root_bibliography,Wang:2023exq,10.1007/JHEP05(2024)060,2309.17082,Diffusion models as stochastic quantization in lattice field theory,"Wang, Lingxiao and Aarts, Gert and Zhou, Kai",2024,0,,https://link.springer.com/article/10.1007/JHEP05(2024)060,current root bibliography ref 25
Q04,backward,lineage,26,root_bibliography,Zhu:2025pmw,10.1007/JHEP03(2026)111,2502.05504,Physics-conditioned diffusion models for lattice gauge theory,"Zhu, Qianteng and Aarts, Gert and Wang, Wei and Zhou, Kai and Wang, Lingxiao",2026,0,,https://arxiv.org/abs/2502.05504,current root bibliography ref 26
Q04,backward,lineage,27,root_bibliography,Vega:2025hgz,,2510.26081,Group-Equivariant Diffusion Models for Lattice Field Theory,"Vega, Octavio and Komijani, Javad and El-Khadra, Aida and Marinkovic, Marina",2025,0,,https://arxiv.org/abs/2510.26081,current root bibliography ref 27
Q04,backward,lineage,28,root_bibliography,Aarts:2026zzr,,2601.19552,Generalizable Equivariant Diffusion Models for Non-Abelian Lattice Gauge Theory,"Aarts, Gert and Habibi, Diaa E. and Ipp, Andreas and M \""u ller, David I. and Ranner, Thomas R. and Wang, Lingxiao and Wang, Wei and Zhu, Qianteng",2026,0,,https://arxiv.org/abs/2601.19552,current root bibliography ref 28
Q04,backward,lineage,29,root_bibliography,Alharazin:2026lcb,,2602.09045,Diffusion Models for SU(2) Lattice Gauge Theory in Two Dimensions,"Alharazin, H. and Panteleeva, J. Yu. and Sun, B. -D.",2026,0,,https://arxiv.org/abs/2602.09045,current root bibliography ref 29
Q04,backward,lineage,30,root_bibliography,Komijani:2026lan,,2605.06134,Diffusion model for SU(N) gauge theories,"Komijani, Javad and Marinkovic, Marina K. and Turgut, Lara",2026,0,,https://arxiv.org/abs/2605.06134,current root bibliography ref 30
Q04,backward,lineage,31,root_bibliography,Aarts:2025lpi,10.1007/JHEP12(2025)160,2510.01328,Combining complex Langevin dynamics with score-based and energy-based diffusion models,"Aarts, Gert and Habibi, Diaa E. and Wang, Lingxiao and Zhou, Kai",2025,0,,https://arxiv.org/abs/2510.01328,current root bibliography ref 31
